code,description,created_at,updated_at,id
2801,Aboriginal Evangelical Mission,2020-02-02 00:00:00,2020-02-02 00:00:00,
7011,Agnosticism,2020-02-02 00:00:00,2020-02-02 00:00:00,
2231,Albanian Orthodox,2020-02-02 00:00:00,2020-02-02 00:00:00,
6051,Ancestor Veneration,2020-02-02 00:00:00,2020-02-02 00:00:00,
2211,Ancient Church of the East,2020-02-02 00:00:00,2020-02-02 00:00:00,
2011,Anglican,2020-02-02 00:00:00,2020-02-02 00:00:00,
6131,Animism,2020-02-02 00:00:00,2020-02-02 00:00:00,
2232,Antiochian Orthodox,2020-02-02 00:00:00,2020-02-02 00:00:00,
2401,Apostolic Church (Australia),2020-02-02 00:00:00,2020-02-02 00:00:00,
2901,Apostolic Church of Queensland,2020-02-02 00:00:00,2020-02-02 00:00:00,
2212,Armenian Apostolic Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
2402,Assemblies of God,2020-02-02 00:00:00,2020-02-02 00:00:00,
2213,Assyrian Church of the East,2020-02-02 00:00:00,2020-02-02 00:00:00,
7012,Atheism,2020-02-02 00:00:00,2020-02-02 00:00:00,
6011,Aust. Aboriginal Traditional R,2020-02-02 00:00:00,2020-02-02 00:00:00,
6031,Baha'i,2020-02-02 00:00:00,2020-02-02 00:00:00,
2031,Baptist,2020-02-02 00:00:00,2020-02-02 00:00:00,
2403,Bethesda Churches,2020-02-02 00:00:00,2020-02-02 00:00:00,
2802,Born Again Christian,2020-02-02 00:00:00,2020-02-02 00:00:00,
2051,Brethren,2020-02-02 00:00:00,2020-02-02 00:00:00,
1101,Buddhism,2020-02-02 00:00:00,2020-02-02 00:00:00,
6991,Caodaism,2020-02-02 00:00:00,2020-02-02 00:00:00,
2079,Catholic-nec,2020-02-02 00:00:00,2020-02-02 00:00:00,
2902,Christadelphians,2020-02-02 00:00:00,2020-02-02 00:00:00,
2803,Christian and Missionary Allia,2020-02-02 00:00:00,2020-02-02 00:00:00,
2404,Christian City Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
2405,Christian Life Churches Intern,2020-02-02 00:00:00,2020-02-02 00:00:00,
2406,Christian Outreach Centres,2020-02-02 00:00:00,2020-02-02 00:00:00,
2407,Christian Revival Crusade,2020-02-02 00:00:00,2020-02-02 00:00:00,
2903,Christian Science,2020-02-02 00:00:00,2020-02-02 00:00:00,
2151,Church of Latter-day Sts (Morm,2020-02-02 00:00:00,2020-02-02 00:00:00,
6992,Church of Scientology,2020-02-02 00:00:00,2020-02-02 00:00:00,
2804,Church of the Nazarene,2020-02-02 00:00:00,2020-02-02 00:00:00,
2111,Churches of Christ (Conference,2020-02-02 00:00:00,2020-02-02 00:00:00,
2112,Churches of Christ (Nondenomin,2020-02-02 00:00:00,2020-02-02 00:00:00,
6052,Confucianism,2020-02-02 00:00:00,2020-02-02 00:00:00,
2805,Congregational,2020-02-02 00:00:00,2020-02-02 00:00:00,
2214,Coptic Orthodox Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
6132,Druidism,2020-02-02 00:00:00,2020-02-02 00:00:00,
6071,Druse,2020-02-02 00:00:00,2020-02-02 00:00:00,
6993,Eckankar,2020-02-02 00:00:00,2020-02-02 00:00:00,
2806,Ethnic Evangelical Churches,2020-02-02 00:00:00,2020-02-02 00:00:00,
2408,Faith Churches,2020-02-02 00:00:00,2020-02-02 00:00:00,
2411,Foursquare Gospel Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
2253,Free Reformed,2020-02-02 00:00:00,2020-02-02 00:00:00,
2412,Full Gospel Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
2904,Gnostic Christians,2020-02-02 00:00:00,2020-02-02 00:00:00,
2233,Greek Orthodox,2020-02-02 00:00:00,2020-02-02 00:00:00,
3011,Hinduism (incl. Hare Krishna),2020-02-02 00:00:00,2020-02-02 00:00:00,
7013,Humanism,2020-02-02 00:00:00,2020-02-02 00:00:00,
0003,Inadequately Described,2020-02-02 00:00:00,2020-02-02 00:00:00,
2807,Independent Evangelical Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
2113,International Church of Christ,2020-02-02 00:00:00,2020-02-02 00:00:00,
ISLAM,Islam,2020-02-02 00:00:00,2020-02-02 00:00:00,
2131,Jehovah's Witnesses,2020-02-02 00:00:00,2020-02-02 00:00:00,
5011,Judaism,2020-02-02 00:00:00,2020-02-02 00:00:00,
2905,Liberal Catholic Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
2171,Lutheran,2020-02-02 00:00:00,2020-02-02 00:00:00,
2234,Macedonian Orthodox,2020-02-02 00:00:00,2020-02-02 00:00:00,
2072,Maronite Catholic,2020-02-02 00:00:00,2020-02-02 00:00:00,
2073,Melkite Catholic,2020-02-02 00:00:00,2020-02-02 00:00:00,
6139,Nature Religions-nec,2020-02-02 00:00:00,2020-02-02 00:00:00,
2906,New Apostolic Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
2907,New Churches (Swedenborgian),2020-02-02 00:00:00,2020-02-02 00:00:00,
7010,No Religion-NFD,2020-02-02 00:00:00,2020-02-02 00:00:00,
0001,Not Stated,2020-02-02 00:00:00,2020-02-02 00:00:00,
2219,Oriental Christian-nec,2020-02-02 00:00:00,2020-02-02 00:00:00,
2239,Orthodox-nec,2020-02-02 00:00:00,2020-02-02 00:00:00,
2999,Other Christian-nec,2020-02-02 00:00:00,2020-02-02 00:00:00,
2899,Other Protestant-nec,2020-02-02 00:00:00,2020-02-02 00:00:00,
2800,Other Protestant-nfd,2020-02-02 00:00:00,2020-02-02 00:00:00,
6133,Paganism,2020-02-02 00:00:00,2020-02-02 00:00:00,
6134,Pantheism,2020-02-02 00:00:00,2020-02-02 00:00:00,
2499,Pentecostal-nec,2020-02-02 00:00:00,2020-02-02 00:00:00,
2400,Penticostal-nfd,2020-02-02 00:00:00,2020-02-02 00:00:00,
2251,Presbyterian,2020-02-02 00:00:00,2020-02-02 00:00:00,
6994,Rastafarianism,2020-02-02 00:00:00,2020-02-02 00:00:00,
2908,Ratana (Maori),2020-02-02 00:00:00,2020-02-02 00:00:00,
7014,Rationalism,2020-02-02 00:00:00,2020-02-02 00:00:00,
2252,Reformed,2020-02-02 00:00:00,2020-02-02 00:00:00,
0002,Religious Belief-nfd,2020-02-02 00:00:00,2020-02-02 00:00:00,
6999,Religious Groups-nec,2020-02-02 00:00:00,2020-02-02 00:00:00,
2911,Religious Science,2020-02-02 00:00:00,2020-02-02 00:00:00,
2912,Religious Society of Frnds (Qu,2020-02-02 00:00:00,2020-02-02 00:00:00,
2152,Reorganised Church of Latter D,2020-02-02 00:00:00,2020-02-02 00:00:00,
2413,Revival Centres,2020-02-02 00:00:00,2020-02-02 00:00:00,
2414,Rhema Family Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
2235,Romanian Orthodox,2020-02-02 00:00:00,2020-02-02 00:00:00,
2236,Russian Orthodox,2020-02-02 00:00:00,2020-02-02 00:00:00,
2271,Salvation Army,2020-02-02 00:00:00,2020-02-02 00:00:00,
6995,Satanism,2020-02-02 00:00:00,2020-02-02 00:00:00,
2237,Serbian Orthodox,2020-02-02 00:00:00,2020-02-02 00:00:00,
2311,Seventh-day Adventist,2020-02-02 00:00:00,2020-02-02 00:00:00,
6111,Shinto,2020-02-02 00:00:00,2020-02-02 00:00:00,
6151,Sikhism,2020-02-02 00:00:00,2020-02-02 00:00:00,
6171,Spiritualism,2020-02-02 00:00:00,2020-02-02 00:00:00,
6112,Sukyo Mahikari,2020-02-02 00:00:00,2020-02-02 00:00:00,
2215,Syrian (Jacobite) Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
6053,Taoism,2020-02-02 00:00:00,2020-02-02 00:00:00,
2913,Temple Society,2020-02-02 00:00:00,2020-02-02 00:00:00,
6113,Tenrikyo,2020-02-02 00:00:00,2020-02-02 00:00:00,
6211,Theism,2020-02-02 00:00:00,2020-02-02 00:00:00,
6996,Theosophy,2020-02-02 00:00:00,2020-02-02 00:00:00,
2074,Ukranian Catholic,2020-02-02 00:00:00,2020-02-02 00:00:00,
2238,Ukranian Orthodox,2020-02-02 00:00:00,2020-02-02 00:00:00,
2914,Unitarian,2020-02-02 00:00:00,2020-02-02 00:00:00,
2415,United Pentecostal,2020-02-02 00:00:00,2020-02-02 00:00:00,
2331,Uniting Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
2808,Wesleyan Methodist Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
2071,Western Catholic,2020-02-02 00:00:00,2020-02-02 00:00:00,
6135,Wiccan/Witchcraft,2020-02-02 00:00:00,2020-02-02 00:00:00,
2915,Worldwide Church of God,2020-02-02 00:00:00,2020-02-02 00:00:00,
6231,Zoroastrianism,2020-02-02 00:00:00,2020-02-02 00:00:00,
HINDU,Hindu,2020-02-02 00:00:00,2020-02-02 00:00:00,
CHRISTIAN,Christian,2020-02-02 00:00:00,2020-02-02 00:00:00,
MUSLIM,Muslim,2020-02-02 00:00:00,2020-02-02 00:00:00,
SIKH,Sikh,2020-02-02 00:00:00,2020-02-02 00:00:00,
PARSI,Parsi,2020-02-02 00:00:00,2020-02-02 00:00:00,
JAIN,Jain,2020-02-02 00:00:00,2020-02-02 00:00:00,
BUDDHIST,Buddhist,2020-02-02 00:00:00,2020-02-02 00:00:00,
JUDE,Jude,2020-02-02 00:00:00,2020-02-02 00:00:00,
OTHERS,Others ,2020-02-02 00:00:00,2020-02-02 00:00:00,
7015,Zarthusti,2020-02-02 00:00:00,2020-02-02 00:00:00,